gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	recordedByID	identifiedByID	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name
2464443532																										CAR:575:2016:00152									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:575:2016	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:575:2016:00152			Juan Camilo Duque Yate									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2016-07-07T00:00:00	08:00:00			2016	7	7			Puntual					Robledal				SOUTH_AMERICA				CO	Cundinamarca	Zipacón		El Chuscal								4.757917	-74.360583																																				Juan Camilo Duque Yate	2016-07-07T00:00:00												Quercus humboldtii Bonpl.								Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus		humboldtii		SPECIES		Roble		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.250Z	2688.0								true	false	2880642	2880642	6	7707728	220	1354	4689	2877951		2880642	Quercus humboldtii	Quercus	Quercus humboldtii Bonpl.	Quercus humboldtii		DWC_ARCHIVE	2020-09-01T14:02:29.250Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.26_1	Facatativá		
2464443531																										CAR:575:2016:00149									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:575:2016	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MACHINE_OBSERVATION				CAR:575:2016:00149			Juan Camilo Duque Yate									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2016-06-29T00:00:00	09:00:00			2016	6	29			Puntual					Robledal				SOUTH_AMERICA				CO	Cundinamarca	Tibacuy										4.322972	-74.492389																																				Juan Camilo Duque Yate	2016-06-29T00:00:00												Quercus humboldtii Bonpl.								Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus		humboldtii		SPECIES		Roble		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.299Z	1852.0								true	false	2880642	2880642	6	7707728	220	1354	4689	2877951		2880642	Quercus humboldtii	Quercus	Quercus humboldtii Bonpl.	Quercus humboldtii		DWC_ARCHIVE	2020-09-01T14:02:29.299Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.96_1	Tibacuy		
2464443530																										CAR:2017:00213									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		HUMAN_OBSERVATION				CAR:2017:00213			Juan Pablo Pinedo									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-10-02T00:00:00				2017	10	2			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Mesitas del Colegio		Vivero Mirolindo-Vereda San José Bajo								4.5741	-74.4195																																				Juan Pablo Pinedo													Achatina fulica (Férussac, 1821)								Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina		fulica		SPECIES		Caracol Africano		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:29.274Z	0.0								true	false	2295966	2295966	1	52	225	1456	2630	2295965		2295966	Achatina fulica	Achatina	Achatina fulica (Férussac, 1821)	Achatina fulica		DWC_ARCHIVE	2020-09-01T14:02:29.274Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.24_1	El Colegio		
2464443529																										CAR:2016:00045									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:2016	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		HUMAN_OBSERVATION				CAR:2016:00045			Alvaro Forero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2016-01-01T00:00:00				2016	1	1			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Sasaima		Primero de Julio								4.965	-74.4344																																				Alvaro Forero	2016-01-01T00:00:00												Achatina fulica (Férussac, 1821)								Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina		fulica		SPECIES		Caracol Africano		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:28.875Z	0.0								true	false	2295966	2295966	1	52	225	1456	2630	2295965		2295966	Achatina fulica	Achatina	Achatina fulica (Férussac, 1821)	Achatina fulica		DWC_ARCHIVE	2020-09-01T14:02:28.875Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.80_1	Sasaima		
2464443528																										CAR:2016:00041									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:2016	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		HUMAN_OBSERVATION				CAR:2016:00041			Alvaro Forero									PRESENT							Centro Poblado												2016-01-01T00:00:00				2016	1	1			Puntual					Centro Poblado				SOUTH_AMERICA				CO	Cundinamarca	La vega		Hotel Don Juan								4.9915	-74.3311																																				Alvaro Forero	2016-01-01T00:00:00												Achatina fulica (Férussac, 1821)								Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina		fulica		SPECIES		Caracol Africano		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:28.845Z	1295.0								true	false	2295966	2295966	1	52	225	1456	2630	2295965		2295966	Achatina fulica	Achatina	Achatina fulica (Férussac, 1821)	Achatina fulica		DWC_ARCHIVE	2020-09-01T14:02:28.845Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.51_1	La Vega		
2464443527																										CAR:2016:00038									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:2016	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		HUMAN_OBSERVATION				CAR:2016:00038			Alvaro Forero									PRESENT							Barrio												2016-01-01T00:00:00				2016	1	1			Puntual					Barrio				SOUTH_AMERICA				CO	Cundinamarca	Guaduas		San Jose								5.0727	-74.6056																																				Alvaro Forero	2016-01-01T00:00:00												Achatina fulica (Férussac, 1821)								Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina		fulica		SPECIES		Caracol Africano		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:28.866Z	1008.0								true	false	2295966	2295966	1	52	225	1456	2630	2295965		2295966	Achatina fulica	Achatina	Achatina fulica (Férussac, 1821)	Achatina fulica		DWC_ARCHIVE	2020-09-01T14:02:28.866Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.38_1	Guaduas		
2464443526																										CAR:2016:00034									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:2016	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		HUMAN_OBSERVATION				CAR:2016:00034			Alvaro Forero									PRESENT							Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2016-01-01T00:00:00				2016	1	1			Puntual									SOUTH_AMERICA				CO	Cundinamarca	Beltrán		La Popa								4.6334	-74.761																																				Alvaro Forero	2016-01-01T00:00:00												Achatina fulica (Férussac, 1821)								Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina		fulica		SPECIES		Caracol Africano		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:28.852Z	315.0								true	false	2295966	2295966	1	52	225	1456	2630	2295965		2295966	Achatina fulica	Achatina	Achatina fulica (Férussac, 1821)	Achatina fulica		DWC_ARCHIVE	2020-09-01T14:02:28.852Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.69_1	Pulí		
2464443525																										CAR:2016:00030									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:2016	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		HUMAN_OBSERVATION				CAR:2016:00030			Alvaro Forero									PRESENT							Puentes												2016-01-01T00:00:00				2016	1	1			Puntual					Puentes				SOUTH_AMERICA				CO	Cundinamarca	Tocaima		Los Suspiros								4.4485	-74.6424																																				Alvaro Forero	2016-01-01T00:00:00												Achatina fulica (Férussac, 1821)								Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina		fulica		SPECIES		Caracol Africano		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:28.804Z	340.0								true	false	2295966	2295966	1	52	225	1456	2630	2295965		2295966	Achatina fulica	Achatina	Achatina fulica (Férussac, 1821)	Achatina fulica		DWC_ARCHIVE	2020-09-01T14:02:28.804Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.98_1	Tocaima		
2464443524																										CAR:2016:00027									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:2016	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		HUMAN_OBSERVATION				CAR:2016:00027			Alvaro Forero									PRESENT							Barrio												2016-01-01T00:00:00				2016	1	1			Puntual					Barrio				SOUTH_AMERICA				CO	Cundinamarca	Guataquí		Galan								4.5066	-74.7684																																				Alvaro Forero	2016-01-01T00:00:00												Achatina fulica (Férussac, 1821)								Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina		fulica		SPECIES		Caracol Africano		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:28.828Z	308.0								true	false	2295966	2295966	1	52	225	1456	2630	2295965		2295966	Achatina fulica	Achatina	Achatina fulica (Férussac, 1821)	Achatina fulica		DWC_ARCHIVE	2020-09-01T14:02:28.828Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.45_1	Jerusalén		
2464443523																										CAR:2016:00023									es	CC_BY_NC_4_0											Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:2016	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		HUMAN_OBSERVATION				CAR:2016:00023			Alvaro Forero									PRESENT							Barrio												2016-01-01T00:00:00				2016	1	1			Puntual					Barrio				SOUTH_AMERICA				CO	Cundinamarca	Apulo		Meseta								4.5246	-74.5871																																				Alvaro Forero	2016-01-01T00:00:00												Achatina fulica (Férussac, 1821)								Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina		fulica		SPECIES		Caracol Africano		ACCEPTED			528d764c-c43f-46d7-b192-27361ea378f5	CO	2020-09-01T14:02:28.819Z	455.0								true	false	2295966	2295966	1	52	225	1456	2630	2295965		2295966	Achatina fulica	Achatina	Achatina fulica (Férussac, 1821)	Achatina fulica		DWC_ARCHIVE	2020-09-01T14:02:28.819Z	2020-09-01T01:32:34.319Z	false				COL	Colombia	COL.14_1	Cundinamarca	COL.14.5_1	Apulo		
