gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
2464443701																										CAR:819:2017:00523									es												Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:819:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Actualización del plan de manejo y conservación de la especie Choloepus hoffmanni		HumanObservation				CAR:819:2017:00523			Comunidad								Silvestre									Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-04-27				2017	04	27		Bosque de niebla en regeneración	Puntual									SA				Colombia	CO	Cundinamarca	Sibaté		San Miguel		0										4.4863	-74.3053	WGS84																																							Comunidad	2017-04-27												Choloepus hoffmanni								Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus		hoffmanni		Especie		Peters, 1858	Perezoso de dos dedos. Perico Ligero						
2464443700																										CAR:819:2017:00215									es												Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:819:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Formulación del plan de prevención, manejo y control de la especie Cornu aspersum		HumanObservation				CAR:819:2017:00215			Diana Romero								Invasor									Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-10-01				2017	10	01			Puntual									SA				Colombia	CO	Cundinamarca	Alban		Chimbe		0										4.9138	-74.4670	WGS84																																							Diana Romero	2017-10-01												Cornu aspersum								Animalia	Mollusca	Gastropoda	Stylommatophora	Helicidae	Cornu		aspersum		Especie		(O.F.Müller, 1774)	Caracol de jardin						
2464443699																										CAR:819:2017:00208									es												Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:819:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Actualización del plan de prevención, manejo y control de la especie Achatina fulica		HumanObservation				CAR:819:2017:00208			Diana Romero								Invasor									Institución Educativa RHIDA												2017-01-01				2017	01	01			Puntual					Institución Educativa RHIDA				SA				Colombia	CO	Cundinamarca	La vega		Institución Educativa RHIDA		0										4.9924	-74.3331	WGS84																																							Diana Romero	2017-01-01												Achatina fulica								Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina		fulica		Especie		(Férussac, 1821)	Caracol Africano						
2464443698																										CAR:819:2017:00204									es												Corporación Autonoma regional de Cundinamarca (CAR)							Evento		899.999.062-6		CAR:819:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Actualización del plan de prevención, manejo y control de la especie Achatina fulica		HumanObservation				CAR:819:2017:00204			Diana Romero								Invasor									Barrio												2017-01-01				2017	01	01			Puntual					Barrio				SA				Colombia	CO	Cundinamarca	Girardot		Portachuelo		0										4.3204	-74.7851	WGS84																																							Diana Romero	2017-01-01												Achatina fulica								Animalia	Mollusca	Gastropoda	Stylommatophora	Achatinidae	Achatina		fulica		Especie		(Férussac, 1821)	Caracol Africano						
2464443697																										CAR:783:2017:00943									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:783:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:783:2017:00943			Felipe Veloza Romero								Silvestre									Frente a la cámara												2018-06-23	01:01:00			2018	06	23		Bosque altoandino	Cámara Trampa					Fauna asociada				SA				Colombia	CO	Cundinamarca	Guatavita		Reserva Vista Hermosa		3039										4.9154	-73.7284	WGS84																																							Felipe Veloza Romero	2018-08-03												Didelphis pernigra								Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis		pernigra		Especie		J.A.Allen, 1900	Zarigueya						
2464443696																										CAR:783:2017:00932									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:783:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:783:2017:00932			Felipe Veloza Romero								Silvestre									Frente a la cámara												2018-05-21	12:29:00			2018	05	21		Bosque altoandino	Cámara Trampa					Fauna asociada				SA				Colombia	CO	Cundinamarca	Guatavita		Reserva Vista Hermosa		3027										4.9136	-73.7276	WGS84																																							Felipe Veloza Romero	2018-08-03												Odocoileus virginianus goudotii								Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Odocoileus		virginianus	goudotii	Subespecie		(Gay & Gervais, 1846)	Venado cola blanca						
2464443695																										CAR:783:2017:00929									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:783:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:783:2017:00929			Felipe Veloza Romero								Silvestre									Frente a la cámara												2018-05-21	12:21:00			2018	05	21		Bosque altoandino	Cámara Trampa					Fauna asociada				SA				Colombia	CO	Cundinamarca	Guatavita		Reserva Vista Hermosa		3027										4.9136	-73.7276	WGS84																																							Felipe Veloza Romero	2018-08-03												Odocoileus virginianus goudotii								Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Odocoileus		virginianus	goudotii	Subespecie		(Gay & Gervais, 1846)	Venado cola blanca						
2464443694																										CAR:783:2017:00925									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:783:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:783:2017:00925			Felipe Veloza Romero								Silvestre									Frente a la cámara												2018-07-28	14:43:00			2018	07	28		Bosque altoandino	Cámara Trampa					Fauna asociada				SA				Colombia	CO	Cundinamarca	Guatavita		Reserva Vista Hermosa		3039										4.9154	-73.7284	WGS84																																							Felipe Veloza Romero	2018-08-03												Odocoileus virginianus goudotii								Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Odocoileus		virginianus	goudotii	Subespecie		(Gay & Gervais, 1846)	Venado cola blanca						
2464443693																										CAR:783:2017:00921									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:783:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:783:2017:00921			Felipe Veloza Romero								Silvestre									Frente a la cámara												2018-05-13	14:25:00			2018	05	13		Bosque altoandino	Cámara Trampa					fauna asociada				SA				Colombia	CO	Cundinamarca	Guatavita		Reserva Vista Hermosa		3039										4.9154	-73.7284	WGS84																																							Felipe Veloza Romero	2018-08-03												Odocoileus virginianus goudotii								Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Odocoileus		virginianus	goudotii	Subespecie		(Gay & Gervais, 1846)	Venado cola blanca						
2464443692																										CAR:783:2017:00918									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:783:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:783:2017:00918			Felipe Veloza Romero								Silvestre									Frente a la cámara												2018-02-28	14:22:00			2018	02	28		Bosque altoandino	Cámara Trampa					Hembra				SA				Colombia	CO	Cundinamarca	Guatavita		Reserva Vista Hermosa		3052										4.9161	-73.7305	WGS84																																							Felipe Veloza Romero	2018-07-28												Odocoileus virginianus goudotii								Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Odocoileus		virginianus	goudotii	Subespecie		(Gay & Gervais, 1846)	Venado cola blanca						
